Nome Reduzido;ISPB;CNPJ
BNS CAPITAL PAGAMENTOS LTDA;40557732;40.557.732/0001-00
BOFA MERRILL LYNCH BM S.A.;62073200;62.073.200/0001-21
BOKU NETWORK BRASIL IP;7115294;07.115.294/0001-46
BONUSPAGO SCD S.A.;36586946;36.586.946/0001-29
BPY CCTVM S.A.;27842177;27.842.177/0001-91
BRASIL CARD IP LTDA;03130170;03.130.170/0001-89
BRB - BCO DE BRASILIA S.A.;00000208;00.000.208/0001-00
BRCONDOS SCD S.A.;49933388;49.933.388/0001-72
BRINKS PAY IP LTDA.;09437293;09.437.293/0001-43
BRX BANK IP LTDA.;24722685;24.722.685/0001-48
BS2 PAYMENTS IP S.A.;20520298;20.520.298/0001-78
C.C CREDIVERDE;25528753;25.528.753/0001-03
C6 CTVM LTDA.;32345784;32.345.784/0001-86
CAIXA ECONOMICA FEDERAL;00360305;00.360.305/0001-04
CAPITAL CONSIG SCD S.A.;40083667;40.083.667/0001-10
CAPPTA IP S.A.;13966572;13.966.572/0001-71
CARDPAY;08512761;08.512.761/0001-34
CARTOS SCD S.A.;21332862;21.332.862/0001-91
CARTWAVE IP;33207641;33.207.641/0001-70
CARUANA SCFI;09313766;09.313.766/0001-09
CASA CREDITO S.A. SCM;05442029;05.442.029/0001-47
CC AGROCREDI LTDA;42873828;42.873.828/0001-02
CC ALTO PARANAIBA E REGIÃO;25387671;25.387.671/0001-88
CC ALTO VALE DO ITAJAÍ;80959612;80.959.612/0001-45
CC ARACREDI LTDA.;00068987;00.068.987/0001-86
CC CAP UNICIDADES;03047549;03.047.549/0001-20
CC CARLOS CHAGAS;41753500;41.753.500/0001-81
CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE;09403026;09.403.026/0001-55
CC CENTRO SUL MINEIRO;71238232;71.238.232/0001-20
CC COCRE;54401286;54.401.286/0001-46
CC CONTADORES ADMINISTRADORES ECONOMISTAS E CORRET SEGUROS;02217068;02.217.068/0001-52
CC COOPACREDI;65229254;65.229.254/0001-21
CC COOPCRED;53623781;53.623.781/0001-37
CC COOPLIVRE;49389307;49.389.307/0001-15
CC COPERSUL LTDA;18966739;18.966.739/0001-18
CC CREDCOOPER LTDA;19449602;19.449.602/0001-59
CC CREDIAGRO;00429890;00.429.890/0001-51
CC CREDIALP;25353939;25.353.939/0001-60
CC CREDIARA LTDA.;66398496;66.398.496/0001-01
CC CREDIBAM LTDA.;66259110;66.259.110/0001-80
CC CREDIBELO LTDA. - SICOOB CREDIBELO;71237184;71.237.184/0001-56
CC CREDIBOM;21670187;21.670.187/0001-00
CC CREDICAF LTDA;25395435;25.395.435/0001-03
CC CREDICAMPINA;01609345;01.609.345/0001-00
CC CREDICAMPO LTDA;21661202;21.661.202/0001-54
CC CREDICARPA;23949522;23.949.522/0001-30
CC CREDICERIPA;00966246;00.966.246/0001-12
CC CREDICITRUS;54037916;54.037.916/0001-45
CC CREDICOCAPEC;67096909;67.096.909/0001-66
CC CREDICOPE;38588174;38.588.174/0001-90
CC CREDIESMERALDAS LTDA.;68512748;68.512.748/0001-07
CC CREDIFIEMG;07469260;07.469.260/0001-50
CC CREDIFOR LTDA;41931445;41.931.445/0001-72
CC CREDIGUAÇU;67960229;67.960.229/0001-49
CC CREDILIVRE LTDA. - SICOOB CREDILIVRE;41697103;41.697.103/0001-30
CC CREDIMAC LTDA - SICOOB CREDIMAC;64480833;64.480.833/0001-80
CC CREDIMATA;01152097;01.152.097/0001-10
CC CREDIMOTA;66788142;66.788.142/0001-73
CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL;25420696;25.420.696/0001-36
CC CREDINOR;21866694;21.866.694/0001-14
CC CREDINORTE - SICOOB CREDINORTE;64276058;64.276.058/0001-45
CC CREDINOSSO;06324872;06.324.872/0001-91
CC CREDINTER;24048910;24.048.910/0001-02
CC CREDIPIMENTA;42934794;42.934.794/0001-00
CC CREDIRAMA;03412878;03.412.878/0001-22
CC CREDISETE LTDA;22753982;22.753.982/0001-25
CC CREDISG;03645752;03.645.752/0001-06
CC CREDISUDESTE LTDA;22656789;22.656.789/0001-76
CC CREDIUNA LTDA;64237530;64.237.530/0001-30
CC CREDIVAG;25404542;25.404.542/0001-50
CC CREDIVALE LTDA. - SICOOB CREDIVALE;25387655;25.387.655/0001-95
CC CREDIVAR;25798596;25.798.596/0001-48
CC CREDIVAZ LTDA;00803287;00.803.287/0001-98
CC CREDIVERTENTES;22724710;22.724.710/0001-05
CC CREDLIDER;05463934;05.463.934/0001-83
CC CREDPLUS;25536764;25.536.764/0001-27
CC DA FOZ DO RIO ITAJAÍ AÇU;09512539;09.512.539/0001-02
CC DE EMPRESÁRIOS;04247370;04.247.370/0001-89
CC DE ITAPETININGA - SICOOB CRED-ACI;08844074;08.844.074/0001-16
CC DISTRITO FEDERAL E ENTORNO;01187961;01.187.961/0001-10
CC DO NORTE CATARINENSE;03461243;03.461.243/0001-15
CC DO NORTE CATARINENSE E SUL PARANAENSE;81011686;81.011.686/0001-18
CC DO PLANALTO SUL;03033469;03.033.469/0001-15
CC DO VALE EUROPEU - SICOOB EURO VALE;82133182;82.133.182/0001-33
CC EMP DA CIA INDUSTRIAL CATAGUASES E BAUMINAS LTDA.;19495266;19.495.266/0001-80
CC EMPRESÁRIOS DE MANAUS;10808037;10.808.037/0001-02
CC GUARANICREDI;26014175;26.014.175/0001-41
CC INTEGRADO - SICOOB INTEGRADO;07122321;07.122.321/0001-08
CC INTEGRANTES MIN PUBL E PODER JUDIC AP E CE E CCLA PA;84156470;84.156.470/0001-39
CC INV DE RONDÔNIA - SICOOB CREDJURD;04751713;04.751.713/0001-48
CC INVESTIMENTO LIVRE ADMISSÃO DO OESTE DE RONDÔNIA;05597773;05.597.773/0001-10
CC INVESTIMENTO SICOOB CENTRO;08044854;08.044.854/0001-81
CC LAR CREDI;39343350;39.343.350/0001-96
CC LITORÂNEA;85291086;85.291.086/0001-01
CC MECUNP;20833992;20.833.992/0001-45
CC MERCADO IMOBILIÁRIO - SICOOB IMOB.VC;14913919;14.913.919/0001-80
CC MONTECREDI LTDA.;71392047;71.392.047/0001-96
CC NO PIAUÍ - SICOOB PIAUÍ;05477038;05.477.038/0001-73
CC NOROESTE DE MINAS;86564051;86.564.051/0001-61
CC NOSSA SENHORA DO DESTERRO;03419786;03.419.786/0001-74
CC NOSSO - SICOOB NOSSO;59869560;59.869.560/0001-20
CC NOSSOCREDITO;22760839;22.760.839/0001-60
CC ORIGINAL - SICOOB ORIGINAL;81292278;81.292.278/0001-81
CC PODER JUD E MP MG;03519240;03.519.240/0001-95
CC REG. COLAR METROPOLITANO VALE DO AÇO LTDA;17361536;17.361.536/0001-35
CC REGIÃO CENTRAL MG;22749014;22.749.014/0001-45
CC REGIÃO MERIDIONAL BRASIL;05392810;05.392.810/0001-54
CC SACRAMENTO;71154256;71.154.256/0001-00
CC SÃO FRANCISCO DE SALES LTDA.;01374196;01.374.196/0001-47
CC SERV FIN CTBA E REG;05097757;05.097.757/0001-69
CC SERV MIL POL CIVIL SEC ED;03269540;03.269.540/0001-63
CC SERV. MUN SANTO ANDRÉ SP - CECRESA;00512839;00.512.839/0001-09
CC SICOOB 3 COLINAS;04013172;04.013.172/0001-50
CC SICOOB ALIANÇA;06174009;06.174.009/0001-03
CC SICOOB CENTRAL BA;34148882;34.148.882/0001-59
CC SICOOB COOPEC LTDA.;32615247;32.615.247/0001-09
CC SICOOB COOPEMAR;04174720;04.174.720/0001-24
CC SICOOB COOPMIL;62673470;62.673.470/0001-73
CC SICOOB CREDCOOP;02528151;02.528.151/0001-42
CC SICOOB CREDICAPITAL;04529074;04.529.074/0001-70
CC SICOOB CREDICONQUISTA;02282165;02.282.165/0001-29
CC SICOOB CREDITIROS;42880617;42.880.617/0001-99
CC SICOOB CREDMETAL;03535065;03.535.065/0001-20
CC SICOOB CREDSEGURO LTDA.;02935307;02.935.307/0001-00
CC SICOOB ENGECRED;04388688;04.388.688/0001-80
CC SICOOB EXTREMO SUL LTDA.;02447120;02.447.120/0001-67
CC SICOOB HORIZONTE;07194313;07.194.313/0001-77
CC SICOOB INOVA;04321309;04.321.309/0001-34
CC SICOOB IPÊ;24610065;24.610.065/0001-17
CC SICOOB ITAPAGIPE;71506513;71.506.513/0001-17
CC SICOOB METROPOLITANO;03459850;03.459.850/0001-40
CC SICOOB NORTE SUL;02876918;02.876.918/0001-24
CC SICOOB OURO VERDE;05582619;05.582.619/0001-75
CC SICOOB SERTÃO;02057584;02.057.584/0001-67
CC SICOOB UNISP;74220948;74.220.948/0001-99
CC SICOOB VALE SUL;02466552;02.466.552/0001-15
CC UNIÃO CENTRO OESTE LTDA;26178111;26.178.111/0001-86
CC UNIÃO DO CENTRO OESTE DE MINAS;65239402;65.239.402/0001-99
CC UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL;00075847;00.075.847/0001-35
CC UNICRED COOMARCA;04355489;04.355.489/0001-75
CC UNICRED DESBRAVADORA LTDA - UNICRED DESBRAVADORA;01039011;01.039.011/0001-48
CC UNICRED EVOLUÇÃO LTDA.;01727929;01.727.929/0001-80
CC UNICRED UNIÃO LTDA - UNICRED UNIÃO;74114042;74.114.042/0001-90
CC UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL;74064502;74.064.502/0001-12
CC VALE DO CANOAS;00707903;00.707.903/0001-07
CC VALE ITAJAÍ E ITAPOCÚ;02883398;02.883.398/0001-87
CCC DO ESP.SANTO - SICOOB ES;32428294;32.428.294/0001-43
CCC DO ESTADO DE SÃO PAULO;63917579;63.917.579/0001-71
CCC DO NORTE DO BRASIL;03502131;03.502.131/0001-65
CCC DOS EST DE MT MS E MUN DE CACOAL/RO;00106180;00.106.180/0001-90
CCC ESTADO MG - CECREMGE;00309024;00.309.024/0001-27
CCC ESTADO SP - CECRESP;62931522;62.931.522/0001-64
CCC MINAS GERAIS - CREDIMINAS;25683434;25.683.434/0001-64
CCC SICOOB CENTRAL SC/RS;80160260;80.160.260/0001-63
CCC UNICOOB-SICOOB CENTR UNIC;05036532;05.036.532/0001-00
CCI UNINDÚSTRIA;53841911;53.841.911/0001-08
CCLA ALTO SÃO FRANCISCO;41805003;41.805.003/0001-80
CCLA ANÁPOLIS E REGIÃO;33615055;33.615.055/0001-65
CCLA ARCOS;71230338;71.230.338/0001-88
CCLA BOA ESPERANÇA;00869687;00.869.687/0001-04
CCLA CAMPOS GERAIS E CAMPO DO;71146450;71.146.450/0001-35
CCLA CARMO DO RIO CLARO;25743311;25.743.311/0001-71
CCLA CENTRO BRASILEIRA LTDA.;37395399;37.395.399/0001-67
CCLA CENTRO NORDESTE - SICOOB CENTRO NORDESTE;03102185;03.102.185/0001-33
CCLA CENTRO NORDESTE MINEIRO;02173447;02.173.447/0001-98
CCLA CENTRO NORTE MT/MS;03326437;03.326.437/0001-08
CCLA CENTRO OESTE LTDA.;07502031;07.502.031/0001-90
CCLA CENTRO-SUL GOIANO;33579731;33.579.731/0001-92
CCLA CERES E RIALMA LTDA;09576849;09.576.849/0001-82
CCLA CIRCUITO CAMPOS VERTENTES;02232383;02.232.383/0001-59
CCLA CIRCUITO DAS ÁGUAS;03941182;03.941.182/0001-93
CCLA CREDIEMBRAPA;02338666;02.338.666/0001-80
CCLA CREDISIS JICRED;02309070;02.309.070/0001-51
CCLA CREDSAOPAULO;02197569;02.197.569/0001-14
CCLA DA GRANDE GOIÂNIA LTDA.;10209619;10.209.619/0001-64
CCLA DA PARAÍBA - SICOOB PARAÍBA;11907520;11.907.520/0001-07
CCLA DA REGIÃO CENTRAL DE RONDÔNIA;02144899;02.144.899/0001-41
CCLA DA REGIÃO DE PARÁ DE MINAS;25387713;25.387.713/0001-80
CCLA DA REGIÃO DE FRUTAL;71419600;71.419.600/0001-37
CCLA DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.;07599206;07.599.206/0001-29
CCLA DE ARARAQUARA E REGIÃO;53236808;53.236.808/0001-39
CCLA DE BH E CIDADES POLO DE MG;01760242;01.760.242/0001-46
CCLA DE DORES DO INDAIA;02254376;02.254.376/0001-58
