Nome Reduzido;ISPB;CNPJ
CECM EMPR CEMIG IND METAL E SERV PUB MUN;17502881;17.502.881/0001-41
CECM EMPR CENT ELÉTRICAS/SC;08850613;08.850.613/0001-20
CECM EMPR EMP ZILLO LORENZETTI;58022195;58.022.195/0001-50
CECM EMPR EST HOSP BH RM ZM;19402130;19.402.130/0001-89
CECM INTEG. MF DP ESTADO RJ;04694278;04.694.278/0001-67
CECM MAGISTRADOS DE SÃO PAULO;51489318;51.489.318/0001-19
CECM MÉD DE PORTO ALEGRE;94433109;94.433.109/0001-66
CECM MEDICOS E PROFISSIONAIS AREA SAUDE DO BRASIL;42898825;42.898.825/0001-15
CECM MÉDICOS PLANALTO MÉDIO RS - CREDISIS/CREDIPLAN;97259253;97.259.253/0001-16
CECM MILITARES ESTADUAIS DE SC;04572960;04.572.960/0001-87
CECM PROF ÁREA NOTARIAL REGISTRAL;07714057;07.714.057/0001-00
CECM SERV E EMPREG PUBL MUN BH BETIM BRUMAD CONTAG IBI NL RN;01864151;01.864.151/0001-50
CECM SERV MUN ITABIRA;16651002;16.651.002/0001-80
CECM SERV MUN POÇOS DE CALDAS;41791005;41.791.005/0001-67
CECM SERV POD JUD TCE ORG PUBL MUN EST FED RJ;02000895;02.000.895/0001-90
CECM SERV POL MIL SP REGIÃO CE;04152107;04.152.107/0001-06
CECM SICOOB COOPERAC;08071414;08.071.414/0001-13
CECM SICOOB CRED-ACILPA;09004796;09.004.796/0001-25
CECM SICOOB CREDSAÚDE;02072790;02.072.790/0001-46
CECM SICOOB METALCRED;04833655;04.833.655/0001-00
CECM TRAB CIA PROC DADOS SP;67915868;67.915.868/0001-92
CECM UNICRED INTEGRAÇÃO;73750424;73.750.424/0001-47
CECME CHOCOLATES GAROTO LTDA;30949267;30.949.267/0001-90
CECME EMPR EMP GR ECON RHODIA;57563728;57.563.728/0001-49
CECMF SECRETARIA DA FAZENDA MG E LIVRE ADMISSÃO;16721078;16.721.078/0001-35
CELCOIN IP S.A.;13935893;13.935.893/0001-09
CENTRAL SICOOB UNI DE CC;04243780;04.243.780/0001-51
CEOPAG IP;33440218;33.440.218/0001-16
CHRISTIAN FAMILY IP;38406148;38.406.148/0001-01
CICLLOS PAY;35257964;35.257.964/0001-02
CIELO IP S.A.;01027058;01.027.058/0001-91
CIVIA COOP CRED;10218474;10.218.474/0001-68
CLARA IP;41538335;41.538.335/0001-45
CLARO PAY S.A. IP;34878543;34.878.543/0001-28
CLOUDWALK IP LTDA;18189547;18.189.547/0001-42
CLUBE AGRO;31841474;31.841.474/0001-90
COBUCCIO S.A. SCFI;36947229;36.947.229/0001-85
CODEPAY;26721922;26.721.922/0001-81
CONPAY IP S.A.;31531997;31.531.997/0001-30
CONTA PRONTA IP;12473687;12.473.687/0001-61
CONTAAZUL IP LTDA.;47381104;47.381.104/0001-57
COOP SICOOB MÉDIO OESTE;07318874;07.318.874/0001-30
COOP ARACOOP LTDA. - SICOOB ARACOOP;03320525;03.320.525/0001-00
COOP CENTRO NORTE BRASILEIRO;02282709;02.282.709/0001-52
COOP COOPERFORTE LTDA.;01658426;01.658.426/0001-08
COOP CREDI&GENTE;82096447;82.096.447/0001-70
COOP CREDICAPI LTDA - SICOOB CREDICAPI;00804046;00.804.046/0001-63
COOP CREDICOMIN;09590601;09.590.601/0001-76
COOP CRESERV CREDISIS;04831810;04.831.810/0001-40
COOP CRESOL ALIANÇA;07412987;07.412.987/0001-09
COOP CRESOL ALTERNATIVA;07215632;07.215.632/0001-11
COOP CRESOL ALTO VALE;07465539;07.465.539/0001-65
COOP CRESOL AMAZONIA;10520232;10.520.232/0001-24
COOP CRESOL ARATIBA;04565791;04.565.791/0001-58
COOP CRESOL ATIVA;07946451;07.946.451/0001-65
COOP CRESOL ÁUREA;02904138;02.904.138/0001-40
COOP CRESOL CENTRO NORTE;05211129;05.211.129/0001-62
COOP CRESOL CENTRO SERRA;01155801;01.155.801/0001-99
COOP CRESOL CENTRO SUL RS/MS;02910987;02.910.987/0001-07
COOP CRESOL CONEXÃO;11969853;11.969.853/0001-52
COOP CRESOL CONFIANÇA;07252614;07.252.614/0001-00
COOP CRESOL COOPERACRED;09488496;09.488.496/0001-69
COOP CRESOL COOPERAR;05983995;05.983.995/0001-71
COOP CRESOL DESENVOLVIMENTO;05425526;05.425.526/0001-37
COOP CRESOL ENCOSTAS DA SERRA GERAL;03485130;03.485.130/0001-50
COOP CRESOL ESSENCIA;06031727;06.031.727/0001-12
COOP CRESOL EVOLUÇAO;02844024;02.844.024/0001-52
COOP CRESOL FRONTEIRAS PR/SC/SP/ES;05276770;05.276.770/0001-85
COOP CRESOL GETULIO VARGAS;05241145;05.241.145/0001-06
COOP CRESOL GOIAS;04490531;04.490.531/0001-60
COOP CRESOL GRANDES LAGOS PR/SP;06126780;06.126.780/0001-05
COOP CRESOL HORIZONTE;05277312;05.277.312/0001-60
COOP CRESOL INOVAÇAO;05070112;05.070.112/0001-32
COOP CRESOL INTEGRACAO;07268499;07.268.499/0001-61
COOP CRESOL INTERAÇÃO;08055016;08.055.016/0001-03
COOP CRESOL JACINTO MACHADO;09463721;09.463.721/0001-02
COOP CRESOL JACUTINGA;02904125;02.904.125/0001-71
COOP CRESOL LIDERANCA;02934201;02.934.201/0001-91
COOP CRESOL LITORAL;05410056;05.410.056/0001-38
COOP CRESOL MAIS;05269976;05.269.976/0001-88
COOP CRESOL MATO GROSSO;50735161;50.735.161/0001-00
COOP CRESOL MINAS GERAIS;08624548;08.624.548/0001-14
COOP CRESOL MISSÕES FRONTEIRA RS;08488377;08.488.377/0001-43
COOP CRESOL NASCENTE;05494591;05.494.591/0001-14
COOP CRESOL NOROESTE;02663426;02.663.426/0001-50
COOP CRESOL NORTE PARANAENSE;07925729;07.925.729/0001-18
COOP CRESOL ORIGENS;05220243;05.220.243/0001-59
COOP CRESOL PIONEIRA;00971300;00.971.300/0001-18
COOP CRESOL PLANALTO SERRA SUL;05863726;05.863.726/0001-71
COOP CRESOL PLANALTO SUL;02766672;02.766.672/0001-38
COOP CRESOL PRIMATO CREDI;53575491;53.575.491/0001-65
COOP CRESOL PROGRESSO;02448310;02.448.310/0001-07
COOP CRESOL RAIZ;17343510;17.343.510/0001-64
COOP CRESOL RIO GRANDE DO SUL;06139650;06.139.650/0001-07
COOP CRESOL SÃO VALENTIM;03015152;03.015.152/0001-56
COOP CRESOL SERRA MAR;07958405;07.958.405/0001-86
COOP CRESOL TRADICAO;04350225;04.350.225/0001-29
COOP CRESOL TRANSAMAZÔNICA;24431221;24.431.221/0001-82
COOP CRESOL TRANSFORMAÇÃO;04261151;04.261.151/0001-54
COOP CRESOL TREZE DE MAIO;09330158;09.330.158/0001-02
COOP CRESOL TRIUNFO;08560508;08.560.508/0001-56
COOP CRESOL UNIAO;02446089;02.446.089/0001-40
COOP CRESOL UNIAO DOS VALES;05231945;05.231.945/0001-38
COOP CRESOL VALE;07320890;07.320.890/0001-68
COOP CRESOL VALE EUROPEU;07512780;07.512.780/0001-06
COOP CRESOL VANGUARDA;03965737;03.965.737/0001-37
COOP CRESOL XANXERE;07509426;07.509.426/0001-14
COOP DE AGRICULTORES E AEROPORTUÁRIOS DO BRASIL;01330387;01.330.387/0001-07
COOP DE CRED E INVEST LIBERDADE - SICREDI LIBERDADE;88530142;88.530.142/0001-01
COOP DE CRÉDITO SICOOB COSTA DO DESCOBRIMENTO LTDA.;01205736;01.205.736/0001-69
COOP DO ESTADO DE GOIÁS;04406371;04.406.371/0001-29
COOP DO ESTADO DO ACRE LTDA.;01608685;01.608.685/0001-16
COOP EVOLUA;10311218;10.311.218/0001-10
COOP FRONTEIRAS;03612764;03.612.764/0001-26
COOP INVEST INT SOL VALE DAS ÁGUAS PR/MG;04663561;04.663.561/0001-21
COOP JUST GOIAS E CELG;09552111;09.552.111/0001-85
COOP LIVRE ADMISSÃO DE ASSOCIADOS SICOOB CRUZ ALTA LTDA;73326449;73.326.449/0001-18
COOP NOVOS CAMPOS;78862083;78.862.083/0001-15
COOP POL FED - SICREDI POL;03000142;03.000
